Seed,Model,Attack,Epsilon,Accuracy
7,Baseline,PGD-5,0.2,0.01
7,Baseline,PGD-5,0.3,0.0
7,Baseline,PGD-20,0.0,86.3
7,Baseline,PGD-20,0.01,72.29
7,Baseline,PGD-20,0.02,53.72
7,Baseline,PGD-20,0.03,37.58
7,Baseline,PGD-20,0.05,14.57
7,Baseline,PGD-20,0.08,2.81
7,Baseline,PGD-20,0.1,0.69
7,Baseline,PGD-20,0.15,0.02
7,Baseline,PGD-20,0.2,0.0
7,Baseline,PGD-20,0.3,0.0
7,FGSM-AT,Clean,0.0,85.81
7,FGSM-AT,FGSM,0.0,85.81
7,FGSM-AT,FGSM,0.01,81.25
7,FGSM-AT,FGSM,0.02,76.25
7,FGSM-AT,FGSM,0.03,70.63
7,FGSM-AT,FGSM,0.05,59.8
7,FGSM-AT,FGSM,0.08,45.16
7,FGSM-AT,FGSM,0.1,37.42
7,FGSM-AT,FGSM,0.15,22.88
7,FGSM-AT,FGSM,0.2,14.6
7,FGSM-AT,FGSM,0.3,6.75
7,FGSM-AT,PGD-5,0.0,85.81
7,FGSM-AT,PGD-5,0.01,81.12
7,FGSM-AT,PGD-5,0.02,75.37
7,FGSM-AT,PGD-5,0.03,68.6
7,FGSM-AT,PGD-5,0.05,54.45
7,FGSM-AT,PGD-5,0.08,34.47
7,FGSM-AT,PGD-5,0.1,23.94
7,FGSM-AT,PGD-5,0.15,7.87
7,FGSM-AT,PGD-5,0.2,2.23
7,FGSM-AT,PGD-5,0.3,0.2
7,FGSM-AT,PGD-20,0.0,85.81
7,FGSM-AT,PGD-20,0.01,81.12
7,FGSM-AT,PGD-20,0.02,75.31
7,FGSM-AT,PGD-20,0.03,68.34
7,FGSM-AT,PGD-20,0.05,53.79
7,FGSM-AT,PGD-20,0.08,32.91
7,FGSM-AT,PGD-20,0.1,22.03
7,FGSM-AT,PGD-20,0.15,6.43
7,FGSM-AT,PGD-20,0.2,1.59
7,FGSM-AT,PGD-20,0.3,0.1
7,PGD-AT,Clean,0.0,84.06
7,PGD-AT,FGSM,0.0,84.06
7,PGD-AT,FGSM,0.01,80.01
7,PGD-AT,FGSM,0.02,75.7
7,PGD-AT,FGSM,0.03,71.45
7,PGD-AT,FGSM,0.05,62.44
7,PGD-AT,FGSM,0.08,49.51
7,PGD-AT,FGSM,0.1,42.49
7,PGD-AT,FGSM,0.15,27.51
7,PGD-AT,FGSM,0.2,18.57
7,PGD-AT,FGSM,0.3,9.45
7,PGD-AT,PGD-5,0.0,84.06
7,PGD-AT,PGD-5,0.01,79.91
7,PGD-AT,PGD-5,0.02,75.18
7,PGD-AT,PGD-5,0.03,70.29
7,PGD-AT,PGD-5,0.05,58.92
7,PGD-AT,PGD-5,0.08,41.51
7,PGD-AT,PGD-5,0.1,30.86
7,PGD-AT,PGD-5,0.15,13.45
7,PGD-AT,PGD-5,0.2,5.02
7,PGD-AT,PGD-5,0.3,0.59
7,PGD-AT,PGD-20,0.0,84.06
7,PGD-AT,PGD-20,0.01,79.92
7,PGD-AT,PGD-20,0.02,75.13
7,PGD-AT,PGD-20,0.03,70.17
7,PGD-AT,PGD-20,0.05,58.38
7,PGD-AT,PGD-20,0.08,40.37
7,PGD-AT,PGD-20,0.1,29.39
7,PGD-AT,PGD-20,0.15,11.41
7,PGD-AT,PGD-20,0.2,3.76
7,PGD-AT,PGD-20,0.3,0.31
